TRIAL;ALVO;Target;IMAGE;subject;RT;Easy;Strenght;Comp;easy_cen;stren_cen;comp_cen;SUJ_fMRI;PART;AGE;SEX;Schooling;all_groups
46;águia;eagle;46_aguia.tif;17;27105;5,57;3,93;2,86;-0,52875;-0,1328125;0,95;1;old;67;f;17;-0,5
46;águia;eagle;46_aguia.tif;14;7216;5,57;3,93;2,86;-0,52875;-0,1328125;0,95;2;old;65;f;17;-0,5
46;águia;eagle;46_aguia.tif;113;8104;5,57;3,93;2,86;-0,52875;-0,1328125;0,95;3;old;71;f;15;-0,5
46;águia;eagle;46_aguia.tif;119;22361;5,57;3,93;2,86;-0,52875;-0,1328125;0,95;4;old;76;f;17;-0,5
46;águia;eagle;46_aguia.tif;125;;5,57;3,93;2,86;-0,52875;-0,1328125;0,95;5;old;65;m;12;-0,5
46;águia;eagle;46_aguia.tif;12;6077;5,57;3,93;2,86;-0,52875;-0,1328125;0,95;6;old;58;f;17;-0,5
46;águia;eagle;46_aguia.tif;127;7164;5,57;3,93;2,86;-0,52875;-0,1328125;0,95;7;old;60;f;19;-0,5
46;águia;eagle;46_aguia.tif;120;6884;5,57;3,93;2,86;-0,52875;-0,1328125;0,95;8;old;60;f;12;-0,5
46;águia;eagle;46_aguia.tif;131;21191;5,57;3,93;2,86;-0,52875;-0,1328125;0,95;9;old;64;m;17;-0,5
46;águia;eagle;46_aguia.tif;129;;5,57;3,93;2,86;-0,52875;-0,1328125;0,95;10;old;64;f;12;-0,5
46;águia;eagle;46_aguia.tif;133;7913;5,57;3,93;2,86;-0,52875;-0,1328125;0,95;11;old;59;f;17;-0,5
46;águia;eagle;46_aguia.tif;132;;5,57;3,93;2,86;-0,52875;-0,1328125;0,95;12;old;65;f;17;-0,5
46;águia;eagle;46_aguia.tif;41;;5,57;3,93;2,86;-0,52875;-0,1328125;0,95;13;old;69;m;13;-0,5
46;águia;eagle;46_aguia.tif;43;7935;5,57;3,93;2,86;-0,52875;-0,1328125;0,95;14;old;71;f;15;-0,5
46;águia;eagle;46_aguia.tif;44;;5,57;3,93;2,86;-0,52875;-0,1328125;0,95;16;old;64;m;17;-0,5
46;águia;eagle;46_aguia.tif;31;2900;5,57;3,93;2,86;-0,52875;-0,1328125;0,95;102;young;22;f;16;0,5
46;águia;eagle;46_aguia.tif;32;2888;5,57;3,93;2,86;-0,52875;-0,1328125;0,95;101;young;20;m;16;0,5
46;águia;eagle;46_aguia.tif;34;3546;5,57;3,93;2,86;-0,52875;-0,1328125;0,95;103;young;23;m;17;0,5
46;águia;eagle;46_aguia.tif;35;6840;5,57;3,93;2,86;-0,52875;-0,1328125;0,95;105;young;22;m;17;0,5
46;águia;eagle;46_aguia.tif;37;5437;5,57;3,93;2,86;-0,52875;-0,1328125;0,95;106;young;23;f;16;0,5
46;águia;eagle;46_aguia.tif;38;3710;5,57;3,93;2,86;-0,52875;-0,1328125;0,95;104;young;28;f;20;0,5
46;águia;eagle;46_aguia.tif;39;;5,57;3,93;2,86;-0,52875;-0,1328125;0,95;108;young;19;f;12;0,5
46;águia;eagle;46_aguia.tif;310;3354;5,57;3,93;2,86;-0,52875;-0,1328125;0,95;107;young;24;f;17;0,5
46;águia;eagle;46_aguia.tif;313;;5,57;3,93;2,86;-0,52875;-0,1328125;0,95;109;young;24;f;17;0,5
46;águia;eagle;46_aguia.tif;314;5083;5,57;3,93;2,86;-0,52875;-0,1328125;0,95;110;young;22;f;16;0,5
46;águia;eagle;46_aguia.tif;315;3127;5,57;3,93;2,86;-0,52875;-0,1328125;0,95;111;young;22;m;16;0,5
46;águia;eagle;46_aguia.tif;316;2921;5,57;3,93;2,86;-0,52875;-0,1328125;0,95;112;young;22;f;16;0,5
46;águia;eagle;46_aguia.tif;317;2832;5,57;3,93;2,86;-0,52875;-0,1328125;0,95;113;young;22;m;16;0,5
46;águia;eagle;46_aguia.tif;318;3312;5,57;3,93;2,86;-0,52875;-0,1328125;0,95;114;young;22;m;16;0,5
43;alicate;pliers;43_alicate.tif;17;9074;4,93;1,5;2,29;-1,16875;-2,5628125;0,38;1;old;67;f;17;-0,5
43;alicate;pliers;43_alicate.tif;14;7023;4,93;1,5;2,29;-1,16875;-2,5628125;0,38;2;old;65;f;17;-0,5
43;alicate;pliers;43_alicate.tif;113;7770;4,93;1,5;2,29;-1,16875;-2,5628125;0,38;3;old;71;f;15;-0,5
43;alicate;pliers;43_alicate.tif;119;23777;4,93;1,5;2,29;-1,16875;-2,5628125;0,38;4;old;76;f;17;-0,5
43;alicate;pliers;43_alicate.tif;125;7916;4,93;1,5;2,29;-1,16875;-2,5628125;0,38;5;old;65;m;12;-0,5
43;alicate;pliers;43_alicate.tif;12;28667;4,93;1,5;2,29;-1,16875;-2,5628125;0,38;6;old;58;f;17;-0,5
43;alicate;pliers;43_alicate.tif;127;;4,93;1,5;2,29;-1,16875;-2,5628125;0,38;7;old;60;f;19;-0,5
43;alicate;pliers;43_alicate.tif;120;5148;4,93;1,5;2,29;-1,16875;-2,5628125;0,38;8;old;60;f;12;-0,5
43;alicate;pliers;43_alicate.tif;131;12428;4,93;1,5;2,29;-1,16875;-2,5628125;0,38;9;old;64;m;17;-0,5
43;alicate;pliers;43_alicate.tif;129;9366;4,93;1,5;2,29;-1,16875;-2,5628125;0,38;10;old;64;f;12;-0,5
43;alicate;pliers;43_alicate.tif;133;7010;4,93;1,5;2,29;-1,16875;-2,5628125;0,38;11;old;59;f;17;-0,5
43;alicate;pliers;43_alicate.tif;132;8769;4,93;1,5;2,29;-1,16875;-2,5628125;0,38;12;old;65;f;17;-0,5
43;alicate;pliers;43_alicate.tif;41;4865;4,93;1,5;2,29;-1,16875;-2,5628125;0,38;13;old;69;m;13;-0,5
43;alicate;pliers;43_alicate.tif;43;8758;4,93;1,5;2,29;-1,16875;-2,5628125;0,38;14;old;71;f;15;-0,5
